Runtime,Processor,MatrixSize,MatrixOperation,Trial
0.002952814,TPU,160,Multiplication,5
0.002974749,TPU,320,Multiplication,1
0.002890587,TPU,320,Multiplication,2
0.002942562,TPU,320,Multiplication,3
0.002915621,TPU,320,Multiplication,4
0.002899885,TPU,320,Multiplication,5
0.002943516,TPU,640,Multiplication,1
0.002967358,TPU,640,Multiplication,2
0.002979517,TPU,640,Multiplication,3
0.002977848,TPU,640,Multiplication,4
0.002951622,TPU,640,Multiplication,5
0.003038645,TPU,1280,Multiplication,1
0.005813122,TPU,1280,Multiplication,2
0.002966404,TPU,1280,Multiplication,3
0.002988815,TPU,1280,Multiplication,4
0.003012896,TPU,1280,Multiplication,5
0.002970457,TPU,2560,Multiplication,1
0.002898932,TPU,2560,Multiplication,2
0.003026962,TPU,2560,Multiplication,3
0.003009558,TPU,2560,Multiplication,4
0.002920389,TPU,2560,Multiplication,5
0.002037525,TPU,10,Invertion,1
0.001943827,TPU,10,Invertion,2
0.003208876,TPU,10,Invertion,3
0.001893044,TPU,10,Invertion,4
0.001941919,TPU,10,Invertion,5
0.004729986,TPU,20,Invertion,1
0.0020473,TPU,20,Invertion,2
0.001972675,TPU,20,Invertion,3
0.001916409,TPU,20,Invertion,4
0.002035141,TPU,20,Invertion,5
0.001996517,TPU,40,Invertion,1
0.001935244,TPU,40,Invertion,2
0.001902819,TPU,40,Invertion,3
0.001906872,TPU,40,Invertion,4
0.001927376,TPU,40,Invertion,5
0.001966238,TPU,80,Invertion,1
0.00191021,TPU,80,Invertion,2
0.001912594,TPU,80,Invertion,3
0.001947403,TPU,80,Invertion,4
0.001913309,TPU,80,Invertion,5
0.00188756,TPU,160,Invertion,1
0.001967907,TPU,160,Invertion,2
0.001948118,TPU,160,Invertion,3
0.001870394,TPU,160,Invertion,4
0.001882315,TPU,160,Invertion,5
0.001933098,TPU,320,Invertion,1
0.002880573,TPU,320,Invertion,2
0.001991272,TPU,320,Invertion,3
0.002052307,TPU,320,Invertion,4
0.002048254,TPU,320,Invertion,5
0.002006531,TPU,640,Invertion,1
0.001998663,TPU,640,Invertion,2
0.002048731,TPU,640,Invertion,3
0.001973391,TPU,640,Invertion,4
0.001965523,TPU,640,Invertion,5
0.0019629,TPU,1280,Invertion,1
0.001963615,TPU,1280,Invertion,2
0.002020121,TPU,1280,Invertion,3
0.001993179,TPU,1280,Invertion,4
0.00196743,TPU,1280,Invertion,5
0.001981497,TPU,2560,Invertion,1
0.001975775,TPU,2560,Invertion,2
0.004290581,TPU,2560,Invertion,3
0.001977205,TPU,2560,Invertion,4
0.001984119,TPU,2560,Invertion,5
